model_id,model_type,estimand,outcome,treatment,instrument,estimate,std_error,confidence_low,confidence_high,p_value,first_stage_f,n_obs,n_countries,sample_name,fixed_effects,cluster_level,corpus_version,stance_version,run_id,git_commit,r_squared
fs_country_original_untruncated,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.08087482836308688,0.28885004093925337,-0.4852712518778497,0.6470209086040235,0.7795007856614898,0.07839382897484444,4086,179,original_untruncated,iso3,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.76510960868464
fs_country_validation_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.11616631848937467,0.21951258261790893,-0.5464109804204762,0.3140783434417268,0.596681612289393,0.2800538924964686,7654,179,validation_available,iso3,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.6595822973428589
fs_country_year_all_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.05751069478723375,0.20797865750997635,-0.4651488635067874,0.3501274739323199,0.7821547199148736,0.0764644708773738,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.6964408363198947
fs_country_year_verified_complete,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.05751069478723375,0.20797865750997635,-0.4651488635067874,0.3501274739323199,0.7821547199148736,0.0764644708773738,7719,179,verified_complete,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.6964408363198947
fs_country_year_original_untruncated,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.02742963913928409,0.2753821352581212,-0.5123193459666335,0.5671786242452017,0.9206625208610345,0.009921301830744881,4086,179,original_untruncated,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.7895907720546258
fs_country_year_validation_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.06467759623516575,0.2065134201457575,-0.46944389972085043,0.3400887072505189,0.7541463706992656,0.09808693932077478,7654,179,validation_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.697800566530365
rf_none_all_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.0746993715934391,0.06435523038217603,-0.20083562314250414,0.051436879955625917,0.2457855681906144,,7719,179,all_available,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.00024455109947285614
rf_none_verified_complete,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.0746993715934391,0.06435523038217603,-0.20083562314250414,0.051436879955625917,0.2457855681906144,,7719,179,verified_complete,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.00024455109947285614
rf_none_original_untruncated,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10764162258672264,0.08506563220389123,-0.2743702617063494,0.05908701653290416,0.20580196820788504,,4086,179,original_untruncated,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.000508490430552011
rf_none_validation_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.07893695851194824,0.06424505991142457,-0.20485727593834038,0.04698335891444391,0.2192276182492422,,7654,179,validation_available,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.0002759589698922982
